filename,kind,model,date,time_ref,geometry,cutoff,origin,nativefmt,start,stop,step,dispo_time,vapp,vconf,experiment,block,namespace,alternate
petaroute_jj1_[date]_00,gridpoint,petaroute,0,utc,franxl1s100,production,historic,grib,1,48,1,2,promethee,commun,OPER,forecast,vortex.cache.fr,
petaroute_jj1_[date]_06,gridpoint,petaroute,6,utc,franxl1s100,production,historic,grib,1,42,1,7,promethee,commun,OPER,forecast,vortex.cache.fr,petaroute_jj1_[date]_00
petaroute_jj1_[date]_12,gridpoint,petaroute,12,utc,franxl1s100,production,historic,grib,1,36,1,13,promethee,commun,OPER,forecast,vortex.cache.fr,petaroute_jj1_[date]_06
petaroute_jj1_[date]_18,gridpoint,petaroute,18,utc,franxl1s100,production,historic,grib,1,30,1,19,promethee,commun,OPER,forecast,vortex.cache.fr,petaroute_jj1_[date]_12
petaroute_j2j3_[date]_00,gridpoint,petaroute,0,utc,franxl1s100,production,historic,grib,51,96,3,2,promethee,commun,OPER,forecast,vortex.cache.fr,
petaroute_j2j3_[date]_06,gridpoint,petaroute,6,utc,franxl1s100,production,historic,grib,45,90,3,7,promethee,commun,OPER,forecast,vortex.cache.fr,petaroute_j2j3_[date]_00
petaroute_j2j3_[date]_12,gridpoint,petaroute,12,utc,franxl1s100,production,historic,grib,39,84,3,13,promethee,commun,OPER,forecast,vortex.cache.fr,petaroute_j2j3_[date]_06
petaroute_j2j3_[date]_18,gridpoint,petaroute,18,utc,franxl1s100,production,historic,grib,33,78,3,19,promethee,commun,OPER,forecast,vortex.cache.fr,petaroute_j2j3_[date]_12
pprod_frjj1_[date]_maj1,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,3,48,1,3,pprod,france_jj1,OPER,MAJ1,vortex.cache.fr,pprod_frjj1_[date-1]_maj4
pprod_frjj1_[date]_maj2,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,9,48,1,8,pprod,france_jj1,OPER,MAJ2,vortex.cache.fr,pprod_frjj1_[date]_maj1
pprod_frjj1_[date]_maj3,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,14,48,1,14,pprod,france_jj1,OPER,MAJ3,vortex.cache.fr,pprod_frjj1_[date]_maj2
pprod_frjj1_[date]_maj4,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,21,72,1,21,pprod,france_jj1,OPER,MAJ4,vortex.cache.fr,pprod_frjj1_[date]_maj3
pprod_frj2j3_[date]_maj1,gridpoint,alpha,0,utc,eurw1s40,production,historic,grib,51,96,3,9,pprod,france_j2j3,OPER,MAJ1,vortex.cache.fr,pprod_frj2j3_[date-1]_maj2
pprod_frj2j3_[date]_maj2,gridpoint,alpha,0,utc,eurw1s40,production,historic,grib,51,120,3,21,pprod,france_j2j3,OPER,MAJ2,vortex.cache.fr,pprod_frj2j3_[date]_maj1
pprod_mojj1_[date]_maj1,gridpoint,alpha,0,utc,glob01,production,historic,grib,3,60,1,4,pprod,monde_jj1,OPER,MAJ1,vortex.cache.fr,pprod_mojj1_[date-1]_maj4
pprod_mojj1_[date]_maj2,gridpoint,alpha,0,utc,glob01,production,historic,grib,9,60,1,10,pprod,monde_jj1,OPER,MAJ2,vortex.cache.fr,pprod_mojj1_[date]_maj1
pprod_mojj1_[date]_maj3,gridpoint,alpha,0,utc,glob01,production,historic,grib,15,60,1,16,pprod,monde_jj1,OPER,MAJ3,vortex.cache.fr,pprod_mojj1_[date]_maj2
pprod_mojj1_[date]_maj4,gridpoint,alpha,0,utc,glob01,production,historic,grib,21,72,1,22,pprod,monde_jj1,OPER,MAJ4,vortex.cache.fr,pprod_mojj1_[date]_maj3
pprod_moj2j3_[date]_maj1,gridpoint,alpha,0,utc,glob025,production,historic,grib,63,96,3,9,pprod,monde_j2j3,OPER,MAJ1,vortex.cache.fr,pprod_moj2j3_[date-1]_maj2
pprod_moj2j3_[date]_maj2,gridpoint,alpha,0,utc,glob025,production,historic,grib,63,120,3,21,pprod,monde_j2j3,OPER,MAJ2,vortex.cache.fr,pprod_moj2j3_[date]_maj1
pprod_moj4j14_[date]_maj1,gridpoint,alpha,0,utc,glob025,production,historic,grib,99,195,3,11,pprod,monde_j4j14,OPER,MAJ1,vortex.cache.fr,pprod_moj4j14_[date-1]_maj2
pprod_moj4j14_[date]_maj2,gridpoint,alpha,0,utc,glob025,production,historic,grib,99,195,3,22,pprod,monde_j4j14,OPER,MAJ2,vortex.cache.fr,pprod_moj4j14_[date]_maj1
