ds,GAS
01-01-16,13.78 
01-02-16,12.32 
01-03-16,12.25 
01-04-16,11.95 
01-05-16,12.96 
01-06-16,14.42 
01-07-16,14.18 
01-08-16,11.92 
01-09-16,12.10 
01-10-16,15.77 
01-11-16,18.01 
01-12-16,17.80 
01-01-17,20.05 
01-02-17,19.83 
01-03-17,15.85 
01-04-17,16.08 
01-05-17,15.66 
01-06-17,15.04 
01-07-17,15.03 
01-08-17,15.91 
01-09-17,17.11 
01-10-17,16.97 
01-11-17,19.36 
01-12-17,20.77 
01-01-18,18.72 
01-02-18,20.01 
01-03-18,24.02 
01-04-18,19.52 
01-05-18,21.45 
01-06-18,21.96 
01-07-18,22.16 
01-08-18,23.65 
01-09-18,27.74 
01-10-18,25.75 
01-11-18,24.52 
01-12-18,23.80 
01-01-19,21.59 
01-02-19,18.15 
01-03-19,15.73 
01-04-19,15.16 
01-05-19,13.47 
01-06-19,10.39 
01-07-19,10.89 
01-08-19,10.14 
01-09-19,9.62 
01-10-19,10.27 
01-11-19,14.30 
01-12-19,13.13 
01-01-20,11.22 
01-02-20,9.26 
01-03-20,8.62 
01-04-20,6.59 
01-05-20,4.55 
01-06-20,4.92 
01-07-20,4.92 
01-08-20,7.27 
01-09-20,11.05 
01-10-20,13.79 
01-11-20,13.73 
01-12-20,16.09 
01-01-21,20.34 
01-02-21,17.63 
01-03-21,17.65 
01-04-21,20.36 
01-05-21,25.04 
01-06-21,28.79 
01-07-21,36.09 
01-08-21,43.83 
01-09-21,62.52 
01-10-21,89.52 
01-11-21,80.69 
01-12-21,112.99
