ds,LIG
01-01-17,20.49
01-02-17,20.49
01-03-17,20.49
01-04-17,20.49
01-05-17,20.49
01-06-17,20.49
01-07-17,20.49
01-08-17,20.49
01-09-17,20.49
01-10-17,20.49
01-11-17,20.49
01-12-17,20.49
01-01-18,22.11
01-02-18,22.11
01-03-18,22.11
01-04-18,22.11
01-05-18,22.11
01-06-18,22.11
01-07-18,22.11
01-08-18,22.11
01-09-18,22.11
01-10-18,22.11
01-11-18,22.11
01-12-18,22.11
01-01-19,22.11
01-02-19,22.11
01-03-19,22.11
01-04-19,22.11
01-05-19,22.11
01-06-19,22.11
01-07-19,22.11
01-08-19,22.11
01-09-19,22.11
01-10-19,22.11
01-11-19,22.11
01-12-19,22.11
01-01-20,22.11
01-02-20,22.11
01-03-20,22.11
01-04-20,22.11
01-05-20,22.11
01-06-20,22.11
01-07-20,22.11
01-08-20,22.11
01-09-20,22.11
01-10-20,22.11
01-11-20,22.11
01-12-20,22.11
